"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-451306","R-HSA-451306","Ionotropic activity of kainate receptors","1/44","12/10561",0.0488902967562274,0.320842572462742,0.286265553375279,"NCALD",1
"R-HSA-451308","R-HSA-451308","Activation of Ca-permeable Kainate Receptor","1/44","12/10561",0.0488902967562274,0.320842572462742,0.286265553375279,"NCALD",1
"R-HSA-1170546","R-HSA-1170546","Prolactin receptor signaling","1/44","15/10561",0.0607431128649976,0.375178050048514,0.334745327862835,"PRLR",1
"R-HSA-2022377","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins","1/44","17/10561",0.0685646644640057,0.3999605427067,0.356857025572895,"MME",1
"R-HSA-196741","R-HSA-196741","Cobalamin (Cbl, vitamin B12) transport and metabolism","1/44","21/10561",0.0840172794786346,0.418487619930241,0.373387450363824,"CTRC",1
"R-HSA-982772","R-HSA-982772","Growth hormone receptor signaling","1/44","24/10561",0.0954420472916714,0.418487619930241,0.373387450363824,"PRLR",1
"R-HSA-912694","R-HSA-912694","Regulation of IFNA signaling","1/44","26/10561",0.102981068268501,0.418487619930241,0.373387450363824,"USP18",1
"R-HSA-198933","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","2/44","132/10561",0.104495931765338,0.418487619930241,0.373387450363824,"PILRA/IFITM1",2
"R-HSA-451326","R-HSA-451326","Activation of kainate receptors upon glutamate binding","1/44","32/10561",0.125231578053537,0.418487619930241,0.373387450363824,"NCALD",1
"R-HSA-5656169","R-HSA-5656169","Termination of translesion DNA synthesis","1/44","32/10561",0.125231578053537,0.418487619930241,0.373387450363824,"ISG15",1
"R-HSA-418990","R-HSA-418990","Adherens junctions interactions","1/44","33/10561",0.128887177879318,0.418487619930241,0.373387450363824,"CDH13",1
"R-HSA-192105","R-HSA-192105","Synthesis of bile acids and bile salts","1/44","34/10561",0.132527846968728,0.418487619930241,0.373387450363824,"OSBPL6",1
"R-HSA-70614","R-HSA-70614","Amino acid synthesis and interconversion (transamination)","1/44","34/10561",0.132527846968728,0.418487619930241,0.373387450363824,"ASPG",1
"R-HSA-8957322","R-HSA-8957322","Metabolism of steroids","2/44","154/10561",0.134616357577039,0.418487619930241,0.373387450363824,"OSBPL6/LRP2",2
"R-HSA-168638","R-HSA-168638","NOD1/2 Signaling Pathway","1/44","36/10561",0.13976463098547,0.418487619930241,0.373387450363824,"CARD9",1
"R-HSA-8956319","R-HSA-8956319","Nucleobase catabolism","1/44","37/10561",0.143360864357122,0.418487619930241,0.373387450363824,"SAMHD1",1
"R-HSA-2129379","R-HSA-2129379","Molecules associated with elastic fibres","1/44","38/10561",0.146942403882805,0.418487619930241,0.373387450363824,"ELN",1
"R-HSA-5696394","R-HSA-5696394","DNA Damage Recognition in GG-NER","1/44","38/10561",0.146942403882805,0.418487619930241,0.373387450363824,"INO80B",1
"R-HSA-110313","R-HSA-110313","Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template","1/44","39/10561",0.150509308209438,0.418487619930241,0.373387450363824,"ISG15",1
"R-HSA-163841","R-HSA-163841","Gamma carboxylation, hypusine formation and arylsulfatase activation","1/44","39/10561",0.150509308209438,0.418487619930241,0.373387450363824,"DOHH",1
"R-HSA-168276","R-HSA-168276","NS1 Mediated Effects on Host Pathways","1/44","39/10561",0.150509308209438,0.418487619930241,0.373387450363824,"ISG15",1
"R-HSA-168253","R-HSA-168253","Host Interactions with Influenza Factors","1/44","41/10561",0.157599444711481,0.418487619930241,0.373387450363824,"ISG15",1
"R-HSA-419037","R-HSA-419037","NCAM1 interactions","1/44","42/10561",0.161122793041586,0.418487619930241,0.373387450363824,"COL9A1",1
"R-HSA-194068","R-HSA-194068","Bile acid and bile salt metabolism","1/44","43/10561",0.164631738483754,0.418487619930241,0.373387450363824,"OSBPL6",1
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport","1/44","43/10561",0.164631738483754,0.418487619930241,0.373387450363824,"LRP2",1
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization","1/44","44/10561",0.168126338550945,0.418487619930241,0.373387450363824,"COL9A1",1
"R-HSA-1566948","R-HSA-1566948","Elastic fibre formation","1/44","45/10561",0.171606650531905,0.418487619930241,0.373387450363824,"ELN",1
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins","1/44","47/10561",0.178524638274177,0.418487619930241,0.373387450363824,"LRP2",1
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","1/44","47/10561",0.178524638274177,0.418487619930241,0.373387450363824,"C7",1
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","1/44","49/10561",0.185386155568644,0.418487619930241,0.373387450363824,"CXCL10",1
"R-HSA-73893","R-HSA-73893","DNA Damage Bypass","1/44","49/10561",0.185386155568644,0.418487619930241,0.373387450363824,"ISG15",1
"R-HSA-375276","R-HSA-375276","Peptide ligand-binding receptors","2/44","189/10561",0.185817533248908,0.418487619930241,0.373387450363824,"CXCL10/CXCL11",2
"R-HSA-196854","R-HSA-196854","Metabolism of vitamins and cofactors","2/44","190/10561",0.187323029873536,0.418487619930241,0.373387450363824,"LRP2/CTRC",2
"R-HSA-168643","R-HSA-168643","Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways","1/44","52/10561",0.195573533547048,0.427817104634167,0.381711501879106,"CARD9",1
"R-HSA-4641258","R-HSA-4641258","Degradation of DVL","1/44","57/10561",0.212276474332666,0.440798295175653,0.393293716998829,"HECW1",1
"R-HSA-166658","R-HSA-166658","Complement cascade","1/44","58/10561",0.215576153990831,0.440798295175653,0.393293716998829,"C7",1
"R-HSA-186797","R-HSA-186797","Signaling by PDGF","1/44","58/10561",0.215576153990831,0.440798295175653,0.393293716998829,"COL9A1",1
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","1/44","61/10561",0.225394354174501,0.440798295175653,0.393293716998829,"COL9A1",1
"R-HSA-418594","R-HSA-418594","G alpha (i) signalling events","3/44","398/10561",0.229793316613776,0.440798295175653,0.393293716998829,"CXCL10/LRP2/CXCL11",3
"R-HSA-375165","R-HSA-375165","NCAM signaling for neurite out-growth","1/44","63/10561",0.231872992934329,0.440798295175653,0.393293716998829,"COL9A1",1
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","1/44","64/10561",0.235092424093682,0.440798295175653,0.393293716998829,"COL9A1",1
"R-HSA-421270","R-HSA-421270","Cell-cell junction organization","1/44","64/10561",0.235092424093682,0.440798295175653,0.393293716998829,"CDH13",1
"R-HSA-1650814","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","1/44","67/10561",0.244671799824724,0.450711210203439,0.402138322888281,"COL9A1",1
"R-HSA-6807505","R-HSA-6807505","RNA polymerase II transcribes snRNA genes","1/44","74/10561",0.266570029698156,0.479880717715838,0.428164249390573,"POU2F2",1
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","1/44","75/10561",0.269647260430804,0.479880717715838,0.428164249390573,"COL9A1",1
"R-HSA-5696399","R-HSA-5696399","Global Genome Nucleotide Excision Repair (GG-NER)","1/44","84/10561",0.296780514607029,0.5193659005623,0.463394136842554,"INO80B",1
"R-HSA-2980736","R-HSA-2980736","Peptide hormone metabolism","1/44","89/10561",0.311426246364164,0.528345423738615,0.471405941982324,"MME",1
"R-HSA-1474290","R-HSA-1474290","Collagen formation","1/44","90/10561",0.314319413396247,0.528345423738615,0.471405941982324,"COL9A1",1
"R-HSA-446728","R-HSA-446728","Cell junction organization","1/44","91/10561",0.317200699406234,0.528345423738615,0.471405941982324,"CDH13",1
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","3/44","479/10561",0.322039115421632,0.528345423738615,0.471405941982324,"FLG2/MME/BST2",3
"R-HSA-8856825","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis","1/44","100/10561",0.342605430177514,0.530396515936447,0.473235989156329,"LRP2",1
"R-HSA-5607764","R-HSA-5607764","CLEC7A (Dectin-1) signaling","1/44","101/10561",0.345370496717251,0.530396515936447,0.473235989156329,"CARD9",1
"R-HSA-5689603","R-HSA-5689603","UCH proteinases","1/44","102/10561",0.348124196348651,0.530396515936447,0.473235989156329,"INO80B",1
"R-HSA-15869","R-HSA-15869","Metabolism of nucleotides","1/44","103/10561",0.350866574717583,0.530396515936447,0.473235989156329,"SAMHD1",1
"R-HSA-5688426","R-HSA-5688426","Deubiquitination","2/44","297/10561",0.352202791748824,0.530396515936447,0.473235989156329,"USP18/INO80B",2
"R-HSA-2187338","R-HSA-2187338","Visual phototransduction","1/44","104/10561",0.353597677290965,0.530396515936447,0.473235989156329,"LRP2",1
"R-HSA-425393","R-HSA-425393","Transport of inorganic cations/anions and amino acids/oligopeptides","1/44","108/10561",0.364410232742281,0.535333213517267,0.47764066168458,"SLC4A5",1
"R-HSA-2672351","R-HSA-2672351","Stimuli-sensing channels","1/44","109/10561",0.367085632126126,0.535333213517267,0.47764066168458,"C8orf44-SGK3",1
"R-HSA-5696398","R-HSA-5696398","Nucleotide Excision Repair","1/44","111/10561",0.372403454985446,0.535648805116053,0.477922242158683,"INO80B",1
"R-HSA-73894","R-HSA-73894","DNA Repair","2/44","317/10561",0.382426835435535,0.542632671901773,0.484153461646694,"ISG15/INO80B",2
"R-HSA-373076","R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","2/44","324/10561",0.392877094493405,0.550027932290767,0.490751739086499,"CXCL10/CXCL11",2
"R-HSA-196849","R-HSA-196849","Metabolism of water-soluble vitamins and cofactors","1/44","123/10561",0.403405409774797,0.550098286056542,0.490814510867491,"CTRC",1
"R-HSA-2132295","R-HSA-2132295","MHC class II antigen presentation","1/44","123/10561",0.403405409774797,0.550098286056542,0.490814510867491,"HLA-DOB",1
"R-HSA-2500257","R-HSA-2500257","Resolution of Sister Chromatid Cohesion","1/44","126/10561",0.410918963375001,0.553160143004809,0.493546393257423,"CDCA5",1
"R-HSA-1500931","R-HSA-1500931","Cell-Cell communication","1/44","129/10561",0.418340014854381,0.556021538730506,0.496099418015188,"CDH13",1
"R-HSA-202733","R-HSA-202733","Cell surface interactions at the vascular wall","1/44","137/10561",0.437685673254231,0.574462446146178,0.51255295946877,"JAM3",1
"R-HSA-8856828","R-HSA-8856828","Clathrin-mediated endocytosis","1/44","140/10561",0.444776970820169,0.575522760882676,0.513499004697325,"LRP2",1
"R-HSA-5621481","R-HSA-5621481","C-type lectin receptors (CLRs)","1/44","142/10561",0.449455870403613,0.575522760882676,0.513499004697325,"CARD9",1
"R-HSA-112314","R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","1/44","155/10561",0.478943027003122,0.598678783753902,0.534159516331803,"NCALD",1
"R-HSA-168254","R-HSA-168254","Influenza Infection","1/44","155/10561",0.478943027003122,0.598678783753902,0.534159516331803,"ISG15",1
"R-HSA-69242","R-HSA-69242","S Phase","1/44","160/10561",0.489868347395464,0.605131487959103,0.539916816324412,"CDCA5",1
"R-HSA-983231","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","1/44","172/10561",0.515183810842385,0.629003489981982,0.561216146450089,"ZFPM2",1
"R-HSA-983712","R-HSA-983712","Ion channel transport","1/44","186/10561",0.5431691736234,0.654626317411356,0.58407761653745,"C8orf44-SGK3",1
"R-HSA-2467813","R-HSA-2467813","Separation of Sister Chromatids","1/44","190/10561",0.550870732691239,0.654626317411356,0.58407761653745,"CDCA5",1
"R-HSA-68877","R-HSA-68877","Mitotic Prometaphase","1/44","199/10561",0.567738242594233,0.654626317411356,0.58407761653745,"CDCA5",1
"R-HSA-68882","R-HSA-68882","Mitotic Anaphase","1/44","201/10561",0.571401637716679,0.654626317411356,0.58407761653745,"CDCA5",1
"R-HSA-2555396","R-HSA-2555396","Mitotic Metaphase and Anaphase","1/44","202/10561",0.573221939641435,0.654626317411356,0.58407761653745,"CDCA5",1
"R-HSA-500792","R-HSA-500792","GPCR ligand binding","2/44","457/10561",0.573577344779474,0.654626317411356,0.58407761653745,"CXCL10/CXCL11",2
"R-HSA-5689880","R-HSA-5689880","Ub-specific processing proteases","1/44","220/10561",0.604724516024834,0.68275348583449,0.60917353623328,"USP18",1
"R-HSA-112315","R-HSA-112315","Transmission across Chemical Synapses","1/44","226/10561",0.614711333695173,0.686645638702054,0.612646234029903,"NCALD",1
"R-HSA-201681","R-HSA-201681","TCF dependent signaling in response to WNT","1/44","233/10561",0.626051203361314,0.691951330030926,0.617380134062681,"HECW1",1
"R-HSA-425407","R-HSA-425407","SLC-mediated transmembrane transport","1/44","246/10561",0.646251995378474,0.706838119945206,0.630662583209256,"SLC4A5",1
"R-HSA-983168","R-HSA-983168","Antigen processing: Ubiquitination & Proteasome degradation","1/44","310/10561",0.731148365915298,0.791449262073261,0.706155231323511,"HERC5",1
"R-HSA-195721","R-HSA-195721","Signaling by WNT","1/44","330/10561",0.75333043859282,0.807139755635164,0.720154769438893,"HECW1",1
"R-HSA-112316","R-HSA-112316","Neuronal System","1/44","369/10561",0.791560512087614,0.825704100977341,0.736718445984795,"NCALD",1
"R-HSA-71291","R-HSA-71291","Metabolism of amino acids and derivatives","1/44","371/10561",0.793356428228689,0.825704100977341,0.736718445984795,"ASPG",1
"R-HSA-983169","R-HSA-983169","Class I MHC mediated antigen processing & presentation","1/44","372/10561",0.794248706654395,0.825704100977341,0.736718445984795,"HERC5",1
"R-HSA-5663205","R-HSA-5663205","Infectious disease","1/44","383/10561",0.803818622462043,0.827460346652103,0.73828542207556,"ISG15",1
"R-HSA-68886","R-HSA-68886","M Phase","1/44","394/10561",0.812953075952115,0.828738572572544,0.739425894325378,"CDCA5",1
"R-HSA-9006934","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","1/44","448/10561",0.852099289250862,0.860292551647505,0.76757931926444,"COL9A1",1
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","1/44","464/10561",0.862073074144911,0.862073074144911,0.769167955878667,"CXCL10",1
